term,n,hawk_ct,dove_ct,z
prices inflation,2,4,3,0.26
appropriate path,2,4,3,0.26
weather,1,4,3,0.26
last fall,2,4,3,0.26
june suggests,2,4,3,0.26
markets have,2,4,3,0.26
although the pace,3,4,3,0.26
prospects,1,4,3,0.26
purchase longer-term,2,4,3,0.26
purchases as well,3,4,3,0.26
consumer price inflation,3,4,3,0.26
remained slow,2,4,3,0.26
june addendum,2,4,3,0.26
facilitate,1,4,3,0.26
tools to promote,3,4,3,0.26
challenging,1,4,3,0.26
conditions are likely,3,4,3,0.26
inflation are somewhat,3,4,3,0.26
lower unemployment,2,4,3,0.26
always take appropriate,3,4,3,0.26
assesses,1,4,3,0.26
facilitate the extension,3,4,3,0.26
last,1,18,15,0.26
december fomc,2,4,3,0.26
increasing at moderate,3,4,3,0.26
extension of credit,3,4,3,0.26
continued to contract,3,4,3,0.26
bank lending has,3,4,3,0.26
conditions will evolve,3,18,15,0.26
growth of economic,3,4,3,0.26
indicators and inflation,3,4,3,0.26
term risks,2,4,3,0.26
lending has,2,4,3,0.26
recovery is likely,3,4,3,0.26
impede the attainment,3,4,3,0.26
world,1,4,3,0.26
likelihood of inflation,3,4,3,0.26
households and small,3,4,3,0.26
dual mandate furthermore,3,4,3,0.26
monitoring,1,18,15,0.26
needed to promote,3,4,3,0.26
inflation has moved,3,4,3,0.26
indicators will continue,3,4,3,0.26
assesses the appropriate,3,4,3,0.26
small,1,4,3,0.26
have trended lower,3,4,3,0.26
operations,1,4,3,0.26
september suggests,2,4,3,0.26
have diminished,2,4,3,0.26
judges consistent,2,26,22,0.26
financial markets have,3,4,3,0.26
maintain appropriate,2,4,3,0.26
remains slow fiscal,3,4,3,0.26
conditions in light,3,4,3,0.26
boosted,1,4,3,0.26
small businesses,2,4,3,0.26
further and inflation,3,4,3,0.26
growth has,2,4,3,0.26
has become,2,4,3,0.26
consumer,1,17,14,0.28
back,1,33,28,0.28
concerned,1,10,8,0.28
has picked,2,17,14,0.28
move toward,2,10,8,0.28
timing,1,33,28,0.28
against,1,10,8,0.28
continues to see,3,10,8,0.28
wealth and tight,3,10,8,0.28
growing,1,10,8,0.28
accommodative stance,2,42,36,0.28
inflation have,2,10,8,0.28
housing wealth,2,10,8,0.28
economic,1,578,519,0.28
interest,1,41,35,0.29
further improvement,2,32,27,0.3
supporting,1,24,20,0.3
longer-run objective,2,48,41,0.31
sufficient,1,16,13,0.31
imports,1,16,13,0.31
monitor,1,84,73,0.31
progress toward,2,75,65,0.31
growth,1,139,122,0.32
remains constrained,2,9,7,0.32
unemployment modest income,3,9,7,0.32
lower housing,2,9,7,0.32
has diminished,2,9,7,0.32
cumulative progress,2,9,7,0.32
goal and longer-term,3,9,7,0.32
strengthens further,2,9,7,0.32
lower housing wealth,3,9,7,0.32
employers,1,9,7,0.32
outlook for labor,3,9,7,0.32
growth lower housing,3,9,7,0.32
modest income,2,9,7,0.32
employers remain,2,9,7,0.32
commodity,1,9,7,0.32
signs,1,9,7,0.32
stance for monetary,3,9,7,0.32
constrained,1,9,7,0.32
cumulative progress toward,3,9,7,0.32
high unemployment modest,3,9,7,0.32
high unemployment,2,9,7,0.32
employers remain reluctant,3,9,7,0.32
households and businesses,3,9,7,0.32
growth in household,3,9,7,0.32
underlying inflation have,3,9,7,0.32
income growth lower,3,9,7,0.32
sizable and still-increasing,3,9,7,0.32
income growth,2,9,7,0.32
still-increasing,1,9,7,0.32
objectives of maximum,3,39,33,0.32
constrained by high,3,9,7,0.32
growth lower,2,9,7,0.32
labor market strengthens,3,9,7,0.32
modest income growth,3,9,7,0.32
add to payrolls,3,9,7,0.32
remain reluctant,2,9,7,0.32
unemployment modest,2,9,7,0.32
reluctant to add,3,9,7,0.32
still-increasing holdings,2,9,7,0.32
policy tools,2,30,25,0.33
low,1,146,128,0.33
thereby,1,30,25,0.33
toward maximum,2,46,39,0.34
half,1,22,18,0.34
toward maximum employment,3,46,39,0.34
stable inflation,2,15,12,0.34
somewhat below,2,15,12,0.34
improved further,2,15,12,0.34
view of realized,3,15,12,0.34
efficacy and costs,3,22,18,0.34
equipment,1,15,12,0.34
businesses,1,15,12,0.34
efficacy,1,22,18,0.34
software,1,15,12,0.34
equipment and software,3,15,12,0.34
progress toward maximum,3,46,39,0.34
commodities,1,15,12,0.34
move,1,37,31,0.35
economy to support,3,8,6,0.36
best foster maximum,3,8,6,0.36
closely monitor inflation,3,8,6,0.36
have risen,2,8,6,0.36
purchases beginning,2,8,6,0.36
meetings however,2,8,6,0.36
trended,1,8,6,0.36
sufficient underlying,2,8,6,0.36
current assessment,2,8,6,0.36
inflation running,2,8,6,0.36
has,1,337,299,0.36
crude,1,8,6,0.36
months consistent,2,8,6,0.36
structures continues,2,8,6,0.36
recent months consistent,3,8,6,0.36
changes,1,8,6,0.36
rapidly,1,8,6,0.36
crude oil,2,8,6,0.36
inflation running persistently,3,8,6,0.36
early this year,3,8,6,0.36
nonresidential structures continues,3,8,6,0.36
sufficient underlying strength,3,8,6,0.36
stance,1,96,83,0.36
asset purchases beginning,3,8,6,0.36
monitor inflation indicators,3,8,6,0.36
employment objective,2,14,11,0.37
policy remains accommodative,3,21,17,0.37
moving back,2,14,11,0.37
remains accommodative,2,21,17,0.37
continued to strengthen,3,21,17,0.37
including,1,104,90,0.37
adjustments,1,60,51,0.37
underlying inflation,2,21,17,0.37
decisions,1,14,11,0.37
moving back toward,3,14,11,0.37
gradual,1,60,51,0.37
rise,1,36,30,0.37
quarters,1,35,29,0.38
although,1,59,50,0.39
coming quarters,2,20,16,0.39
nearly,1,20,16,0.39
outlook for inflation,3,20,16,0.39
policy remains,2,27,22,0.39
rather,1,20,16,0.39
use,1,13,10,0.4
turn,1,13,10,0.4
stable,1,66,56,0.4
declines,1,58,49,0.4
light of incoming,3,13,10,0.4
economic and financial,3,49,41,0.41
sooner,1,7,5,0.42
roughly,1,19,15,0.42
rose,1,7,5,0.42
plans,1,7,5,0.42
diminished,1,19,15,0.42
picked,1,33,27,0.42
holdings of longer-term,3,48,40,0.42
conditions improved,2,7,5,0.42
later than currently,3,7,5,0.42
trended lower,2,7,5,0.42
act,1,7,5,0.42
quickly,1,7,5,0.42
purchases of agency,3,7,5,0.42
decline toward,2,12,9,0.44
decline toward levels,3,12,9,0.44
conditions including,2,25,20,0.44
coming months,2,25,20,0.44
tight,1,12,9,0.44
inflation moving back,3,12,9,0.44
expansion of economic,3,12,9,0.44
including low,2,25,20,0.44
economic conditions including,3,25,20,0.44
conditions including low,3,25,20,0.44
toward its longer-run,3,12,9,0.44
per month rather,3,18,14,0.45
rather than billion,3,18,14,0.45
month rather,2,18,14,0.45
ongoing improvement,2,18,14,0.45
year,1,94,80,0.46
reflecting,1,45,37,0.47
about,1,44,36,0.48
employment,1,281,246,0.48
slow fiscal policy,3,6,4,0.48
along,1,6,4,0.48
bank,1,6,4,0.48
rapidly than earlier,3,6,4,0.48
transitory factors,2,6,4,0.48
facility,1,6,4,0.48
improvement in economic,3,6,4,0.48
past,1,17,13,0.48
announced,1,30,24,0.48
close,1,17,13,0.48
slow fiscal,2,6,4,0.48
low relative,2,6,4,0.48
investment and net,3,6,4,0.48
promote maximum,2,6,4,0.48
earlier this year,3,6,4,0.48
consider,1,17,13,0.48
mandate although,2,6,4,0.48
also decided today,3,6,4,0.48
somewhat low relative,3,6,4,0.48
shown,1,17,13,0.48
output and employment,3,6,4,0.48
promote maximum employment,3,6,4,0.48
indicators including,2,6,4,0.48
exceptionally low levels,3,30,24,0.48
overall size,2,6,4,0.48
utilization subdued inflation,3,11,8,0.49
subdued inflation,2,11,8,0.49
resource utilization subdued,3,11,8,0.49
trends,1,11,8,0.49
while the recovery,3,11,8,0.49
has declined,2,23,18,0.49
inflation trends,2,11,8,0.49
net exports,2,11,8,0.49
anticipates gradual return,3,11,8,0.49
tight credit,2,11,8,0.49
wealth,1,11,8,0.49
anticipates gradual,2,11,8,0.49
stable inflation expectations,3,11,8,0.49
subdued inflation trends,3,11,8,0.49
trends and stable,3,11,8,0.49
utilization subdued,2,11,8,0.49
diminishing,1,11,8,0.49
ongoing,1,29,23,0.5
objectives,1,66,55,0.5
highly,1,43,35,0.5
increased,1,22,17,0.51
economic growth,2,57,47,0.51
likely efficacy,2,22,17,0.51
inflation moving,2,16,12,0.51
continue to monitor,3,22,17,0.51
inflation developments closely,3,16,12,0.51
continuing,1,28,22,0.52
underlying,1,35,28,0.52
improved,1,42,34,0.52
sizable,1,35,28,0.52
faster,1,10,7,0.53
conditions and return,3,10,7,0.53
however asset,2,10,7,0.53
prices have,2,10,7,0.53
however asset purchases,3,10,7,0.53
business spending,2,10,7,0.53
spending on equipment,3,10,7,0.53
however the actual,3,21,16,0.54
longer run however,3,21,16,0.54
actual path,2,21,16,0.54
run however,2,21,16,0.54
pick,1,15,11,0.55
level,1,47,38,0.55
longer-term securities,2,40,32,0.55
approach,1,33,26,0.56
rising though,2,5,3,0.57
less,1,20,15,0.57
disappointingly slow,2,5,3,0.57
rising though less,3,5,3,0.57
strengthen,1,39,31,0.57
levels,1,200,172,0.57
objective in determining,3,5,3,0.57
prepared to increase,3,5,3,0.57
set,1,5,3,0.57
price stability progress,3,5,3,0.57
securities loan facility,3,5,3,0.57
policy normalization principles,3,5,3,0.57
disappointingly,1,5,3,0.57
stability progress,2,5,3,0.57
have slowed,2,5,3,0.57
developments against,2,5,3,0.57
case,1,5,3,0.57
recovery in output,3,5,3,0.57
moderate over coming,3,5,3,0.57
states,1,5,3,0.57
addendum,1,5,3,0.57
commodity prices,2,5,3,0.57
holding,1,5,3,0.57
have trended,2,5,3,0.57
policy normalization,2,5,3,0.57
program this month,3,5,3,0.57
accompanying,1,5,3,0.57
term asset-backed securities,3,5,3,0.57
markets and economic,3,5,3,0.57
judging,1,5,3,0.57
best foster economic,3,5,3,0.57
stability progress toward,3,5,3,0.57
loan facility,2,5,3,0.57
asset-backed securities loan,3,5,3,0.57
financial developments against,3,5,3,0.57
crisis,1,5,3,0.57
below percent has,3,5,3,0.57
asset-backed securities,2,5,3,0.57
continues,1,115,97,0.57
term asset-backed,2,5,3,0.57
continue to strengthen,3,5,3,0.57
continue to expand,3,5,3,0.57
securities loan,2,5,3,0.57
inflation changes,2,5,3,0.57
asset-backed,1,5,3,0.57
foster economic,2,5,3,0.57
mandate furthermore,2,5,3,0.57
adverse,1,5,3,0.57
increase or reduce,3,5,3,0.57
foster economic growth,3,5,3,0.57
maintain its existing,3,9,6,0.59
anticipates doing,2,14,10,0.59
toward its inflation,3,9,6,0.59
significantly,1,14,10,0.59
programs,1,9,6,0.59
currently expects,2,9,6,0.59
declining,1,9,6,0.59
further gradual increases,3,9,6,0.59
doing,1,14,10,0.59
strains,1,19,14,0.6
improvement,1,111,93,0.61
highly accommodative,2,43,34,0.62
payrolls,1,13,9,0.63
seen,1,13,9,0.63
utilization in context,3,13,9,0.63
best foster,2,13,9,0.63
running below,2,13,9,0.63
monitor the economic,3,13,9,0.63
achieve,1,13,9,0.63
actual,1,42,33,0.64
likely to warrant,3,29,22,0.65
reduce,1,29,22,0.65
coming,1,48,38,0.65
low levels,2,35,27,0.65
solid job gains,3,8,5,0.66
solid job,2,8,5,0.66
business investment,2,8,5,0.66
supporting some further,3,8,5,0.66
software is rising,3,8,5,0.66
broadly supports,2,8,5,0.66
taking into account,3,8,5,0.66
sustain,1,8,5,0.66
policy in particular,3,8,5,0.66
needed to best,3,8,5,0.66
anticipate that economic,3,8,5,0.66
measures of underlying,3,17,12,0.68
fiscal,1,28,21,0.68
pace of asset,3,12,8,0.68
expected progress toward,3,12,8,0.68
expected progress,2,12,8,0.68
provided,1,17,12,0.68
prices of energy,3,12,8,0.68
industrial,1,4,2,0.69
although market-based measures,3,4,2,0.69
changed in recent,3,4,2,0.69
consistent with sustained,3,4,2,0.69
resumption of sustainable,3,4,2,0.69
longer run objective,3,4,2,0.69
mortgage and housing,3,4,2,0.69
shows further improvement,3,4,2,0.69
shows further,2,4,2,0.69
past year,2,4,2,0.69
rebounded,1,4,2,0.69
additional asset,2,4,2,0.69
inflation moving toward,3,4,2,0.69
insufficient,1,4,2,0.69
confirms that underutilization,3,4,2,0.69
holdings in addition,3,4,2,0.69
have moderated,2,4,2,0.69
government,1,4,2,0.69
sharply,1,4,2,0.69
although market-based,2,4,2,0.69
large quantities,2,4,2,0.69
monitoring global economic,3,4,2,0.69
production,1,4,2,0.69
quarter of pace,3,4,2,0.69
monitoring global,2,4,2,0.69
securities to provide,3,4,2,0.69
additional asset purchases,3,4,2,0.69
broad,1,4,2,0.69
commodity prices have,3,4,2,0.69
anticipates that exceptionally,3,4,2,0.69
recent months household,3,4,2,0.69
economic outlook has,3,4,2,0.69
value,1,4,2,0.69
show,1,4,2,0.69
relatively,1,4,2,0.69
program is described,3,4,2,0.69
year despite,2,4,2,0.69
run objective,2,4,2,0.69
quantities,1,4,2,0.69
needed to support,3,4,2,0.69
months household spending,3,4,2,0.69
term will run,3,4,2,0.69
expected,1,134,112,0.69
implement the term,3,4,2,0.69
bring,1,4,2,0.69
months household,2,4,2,0.69
path,1,33,25,0.7
still,1,21,15,0.72
extent,1,21,15,0.72
because of earlier,3,7,4,0.74
output,1,7,4,0.74
necessary to support,3,7,4,0.74
reluctant,1,11,7,0.74
announced in november,3,7,4,0.74
has shown,2,11,7,0.74
balance in recent,3,11,7,0.74
expectations are likely,3,11,7,0.74
year while,2,7,4,0.74
effect,1,7,4,0.74
cumulative,1,11,7,0.74
lower,1,49,38,0.75
risen,1,15,10,0.76
during,1,15,10,0.76
even after,2,20,14,0.76
monetary policy,2,103,84,0.76
way,1,15,10,0.76
add,1,30,22,0.77
asset,1,94,76,0.78
likely to remain,3,19,13,0.79
normalization,1,24,17,0.79
purchases,1,130,107,0.79
return to higher,3,14,9,0.81
inflation has continued,3,10,6,0.81
gradual return,2,14,9,0.81
steps,1,10,6,0.81
complete,1,10,6,0.81
higher levels,2,14,9,0.81
decided to raise,3,10,6,0.81
support the economic,3,10,6,0.81
view,1,51,39,0.83
preserve price stability,3,6,3,0.84
growth and price,3,6,3,0.84
has risen,2,6,3,0.84
preserve price,2,6,3,0.84
proceeding,1,6,3,0.84
gains and lower,3,6,3,0.84
stability in light,3,6,3,0.84
payroll employment,2,6,3,0.84
strong job,2,6,3,0.84
warrant further,2,6,3,0.84
payroll,1,6,3,0.84
recent labor,2,6,3,0.84
inflation in determining,3,18,12,0.84
households,1,18,12,0.84
warrant further gradual,3,6,3,0.84
though less rapidly,3,6,3,0.84
though less,2,6,3,0.84
thus,1,6,3,0.84
began,1,6,3,0.84
sentiment,1,6,3,0.84
shows,1,6,3,0.84
affect,1,6,3,0.84
dual mandate although,3,6,3,0.84
strong job gains,3,6,3,0.84
loan,1,6,3,0.84
economic conditions,2,102,82,0.85
pace of billion,3,38,28,0.85
part,1,27,19,0.86
based,1,22,15,0.86
medium,1,94,75,0.86
meetings,1,13,8,0.87
outlook and financial,3,13,8,0.87
accordingly,1,9,5,0.88
through late,2,9,5,0.88
least through late,3,9,5,0.88
cost,1,9,5,0.88
debt,1,73,57,0.88
expectation,1,17,11,0.88
stance of monetary,3,84,66,0.91
medium term,2,77,60,0.91
future,1,52,39,0.92
high,1,16,10,0.93
current asset purchase,3,16,10,0.93
low level,2,12,7,0.93
reasonably,1,12,7,0.93
warrant exceptionally low,3,25,17,0.93
reasonably confident,2,12,7,0.93
securities should maintain,3,12,7,0.93
warrant exceptionally,2,25,17,0.93
current asset,2,16,10,0.93
november,1,24,16,0.97
private,1,8,4,0.97
continues to anticipates,3,8,4,0.97
closely to support,3,8,4,0.97
using,1,8,4,0.97
grow,1,8,4,0.97
expects economic growth,3,5,2,0.98
prices have risen,3,5,2,0.98
conditions warrant,2,5,2,0.98
substantial improvement,2,5,2,0.98
factors including,2,5,2,0.98
increasing gradually,2,5,2,0.98
inflation have trended,3,5,2,0.98
result,1,5,2,0.98
focus,1,5,2,0.98
see the risks,3,5,2,0.98
number,1,5,2,0.98
resumption,1,5,2,0.98
expects economic,2,5,2,0.98
consumer sentiment,2,5,2,0.98
growth over coming,3,5,2,0.98
decided today,2,33,23,0.99
asset purchases,2,54,40,0.99
best,1,15,9,0.99
policy economic activity,3,15,9,0.99
balance,1,72,55,0.99
particular,1,33,23,0.99
promote,1,53,39,1.01
confirms,1,11,6,1.01
appears to have,3,14,8,1.05
objective partly reflecting,3,14,8,1.05
later,1,14,8,1.05
early,1,14,8,1.05
substantial,1,14,8,1.05
though,1,26,17,1.06
resource,1,50,36,1.08
stronger sustainable economic,3,6,0,1.09
expect,1,7,3,1.09
signal,1,6,0,1.09
appreciably,1,7,3,1.09
members may feel,3,6,0,1.09
described,1,7,3,1.09
taking,1,10,5,1.09
strengthening in labor,3,10,5,1.09
strengthened,1,17,10,1.09
want,1,6,0,1.09
conclude,1,7,3,1.09
risk,1,10,5,1.09
demand,1,10,5,1.09
trade below,2,6,0,1.09
elevated has,2,6,0,1.09
preserve,1,7,3,1.09
jun,1,6,0,1.09
support stronger sustainable,3,6,0,1.09
continued to improve,3,7,3,1.09
package,1,6,0,1.09
investors,1,6,0,1.09
employment will expand,3,6,0,1.09
stronger sustainable,2,6,0,1.09
sentence,1,6,0,1.09
believe,1,6,0,1.09
while investment,2,7,3,1.09
clear,1,6,0,1.09
gdp,1,6,0,1.09
considerable some time,3,6,0,1.09
possible,1,6,0,1.09
short-term,1,6,0,1.09
reductions,1,6,0,1.09
facilities,1,7,3,1.09
need,1,6,0,1.09
appears,1,29,19,1.11
taken,1,13,7,1.12
income,1,13,7,1.12
further,1,187,151,1.12
even,1,43,30,1.12
policy,1,326,271,1.14
levels of resource,3,16,9,1.15
resource utilization,2,46,32,1.17
future adjustments,2,36,24,1.18
nominal,1,7,0,1.18
tighten,1,7,0,1.18
long-term,1,7,0,1.18
ease,1,7,0,1.18
unconventional policy,2,7,0,1.18
commitment,1,7,0,1.18
terms,1,7,0,1.18
order,1,9,4,1.19
policies,1,19,11,1.19
pace of economic,3,19,11,1.19
goal and provided,3,9,4,1.19
credit,1,40,27,1.2
utilization,1,50,35,1.2
purchase large,2,6,2,1.22
year while investment,3,6,2,1.22
adjust the program,3,6,2,1.22
see,1,15,8,1.22
available tools,2,6,2,1.22
implement,1,6,2,1.22
outlook has,2,6,2,1.22
credit conditions,2,6,2,1.22
objective partly,2,15,8,1.22
balanced inflation,2,6,2,1.22
monetary,1,113,86,1.26
same,1,8,0,1.26
trade,1,8,0,1.26
sustainable economic recovery,3,8,0,1.26
possibility,1,8,0,1.26
despite,1,11,5,1.28
conditions will continue,3,8,3,1.3
has increased,2,8,3,1.3
continue to improve,3,8,3,1.3
necessary to promote,3,8,3,1.3
monetary policy economic,3,17,9,1.31
policy economic,2,17,9,1.31
unconventional,1,9,0,1.33
maintain raise,2,9,0,1.33
feel,1,9,0,1.33
confident that inflation,3,13,6,1.37
promote the resumption,3,5,1,1.38
liquidity facilities,2,5,1,1.38
year inflation has,3,5,1,1.38
increase thereby,2,5,1,1.38
activity and employment,3,10,4,1.38
survey,1,5,1,1.38
increase thereby supporting,3,5,1,1.38
response,1,5,1,1.38
recent weeks,2,5,1,1.38
has strengthened,2,10,4,1.38
has been disappointingly,3,5,1,1.38
time,1,176,137,1.39
reduce the pace,3,19,10,1.4
raise,1,26,15,1.4
greenbook,1,10,0,1.41
keep,1,42,27,1.41
participants,1,10,0,1.41
sharp,1,7,2,1.44
institutions,1,7,2,1.44
circumstances,1,7,2,1.44
sustainable economic growth,3,7,2,1.44
longer-run objective partly,3,15,7,1.45
strengthening,1,18,9,1.46
continues to anticipate,3,18,9,1.46
confident,1,18,9,1.46
further gradual,2,18,9,1.46
likely,1,160,122,1.49
expanded,1,9,3,1.5
further gradual adjustments,3,9,3,1.5
before,1,9,3,1.5
attainment,1,9,3,1.5
expansion,1,24,13,1.5
policy measures,2,9,3,1.5
forecast,1,12,0,1.54
wish,1,12,0,1.54
system,1,11,4,1.56
reduction,1,23,12,1.56
second quarter,2,11,4,1.56
fall,1,11,4,1.56
weeks,1,6,1,1.57
year inflation,2,6,1,1.57
deterioration,1,6,1,1.57
increase,1,63,42,1.57
assets,1,6,1,1.57
actions,1,26,14,1.58
next,1,19,9,1.61
although the unemployment,3,13,5,1.63
objective but longer-term,3,8,2,1.63
inflation will rise,3,8,2,1.63
debt and mortgage-backed,3,10,3,1.68
next year,2,7,1,1.73
after this increase,3,7,1,1.73
real,1,7,1,1.73
staff,1,16,0,1.78
late,1,22,10,1.81
given,1,11,3,1.84
zero,1,8,1,1.88
anticipate,1,21,9,1.88
already,1,18,0,1.89
sheet,1,26,12,1.94
second,1,15,5,1.94
balance sheet,2,26,12,1.94
domestic,1,10,2,1.95
large,1,17,6,1.99
reserves,1,9,1,2.0
policy actions,2,11,2,2.09
stimulus,1,11,2,2.09
today to keep,3,18,6,2.12
improve,1,29,12,2.29
liquidity,1,14,2,2.45
because,1,26,9,2.49
members,1,32,0,2.52
decline,1,45,21,2.52
sustainable economic,2,15,2,2.56
paragraph,1,15,1,2.57
sustainable,1,24,2,3.28
