term,ngram_len,total_freq,doc_freq_of_62,example_sentence
investment houses revised,3,8,8,"Investment houses revised their growth forecasts downward for most regions  , and the moderation in world trade continues among the advanced economies  ."
global supply,2,8,8,"Oil prices increased due to a decline in OPEC output, after prices declined sharply since October 2018 against the background of growth in global supply  . interest rate decision will be published on March 11, 2019."
oil prices increased,3,8,8,"Oil prices increased due to a decline in OPEC output, after prices declined sharply since October 2018 against the background of growth in global supply  . interest rate decision will be published on March 11, 2019."
economy fiscal,2,8,8,"The Bank of Israel continues to monitor developments in inflation, the real economy, fiscal policy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
real economy fiscal,3,8,8,"The Bank of Israel continues to monitor developments in inflation, the real economy, fiscal policy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
economy fiscal policy,3,8,8,"The Bank of Israel continues to monitor developments in inflation, the real economy, fiscal policy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
policy the financial,3,8,8,"The Bank of Israel continues to monitor developments in inflation, the real economy, fiscal policy, the financial markets, and the global economy, and will act to attain the monetary policy targets in accordance with such developments."
indicate an increase,3,8,8,"Indicators of private consumption show a recovery; data on credit card purchases indicate an increase in the scope of purchases in most industries in which the strict limitations were removed, to close to the pre-crisis level."
thus far,2,8,8,"Economic activity continues to grow at close to its potential rate, and thus far it seems that activity in Israel is not being adversely affected by the negative global sentiment."
continue to decline,3,8,8,"In the US, the Federal Reserve lowered the federal funds rate by 0.25 percentage points, and assessments in the markets are that the interest rate will continue to decline this year."
policy accommodation,2,8,8,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the orderly functioning of the financial markets."
tools in order,3,8,8,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the orderly functioning of the financial markets."
order to increase,3,8,8,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the orderly functioning of the financial markets."
increase the extent,3,8,8,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the orderly functioning of the financial markets."
monetary policy accommodation,3,8,8,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the orderly functioning of the financial markets."
achieve,1,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
created,1,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
existing tools,2,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
tools including,2,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
operate additional,2,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
additional ones,2,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
committee will expand,3,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
expand the use,3,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
existing tools including,3,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
operate additional ones,3,8,8,"The Committee will expand the use of the existing tools, including the interest rate tool, and will be able to operate additional ones, to the extent that the crisis lengthens and it is necessary to achieve the monetary policy goals and to moderate the negative economic impact created as a result of the crisis."
data gdp,2,8,8,"Based on the first estimate of National Accounts data, GDP contracted by 7.1 percent in the first quarter, in annual terms, as a result of the shutdown of a notable part of economic activity in the middle of March  ."
volumes,1,8,8,"In March, there was a steep increase in mortgage volumes as many borrowers rushed to close on the interest rates agreed on prior to the crisis, and in April there was a decline in mortgage volume with some increase in the interest rate."
expanding,1,8,8,"Governments put into operation comprehensive plans for expanding public expenditure, compensating those negatively impacted by the crisis, and extending credit to the business sector."
separately,1,8,8,"A press release on these measures is being published separately.​ v The process of removing restrictions has led to an improvement in economic activity, but the level of activity remains low."
published separately,2,8,8,"A press release on these measures is being published separately.​ v The process of removing restrictions has led to an improvement in economic activity, but the level of activity remains low."
remains relatively low,3,8,8,"The removal of the restrictions led to growth on the supply side of the economy, but the level of demand remains relatively low, as shown by a number of indicators."
expenditure data,2,8,8,"Credit card expenditure data indicate a similar trend, as some companies in the retail trade and food and beverage services industries adapted their operations to supplying products online and through deliveries."
card expenditure data,3,8,8,"Credit card expenditure data indicate a similar trend, as some companies in the retail trade and food and beverage services industries adapted their operations to supplying products online and through deliveries."
services sector,2,8,8,"The high morbidity levels have led to a slowdown in the services sector, mainly in Europe, while the improvements in manufacturing and in world trade continue. start of inoculation campaigns, with slight increases in US treasury bond yields."
yet returned,2,8,8,"Mobility to work places has not yet returned to its precrisis level, both because employment has not yet completely recovered, and also due to the adoption of remote work arrangements at many workplaces  ."
manufacturing and construction,3,8,8,"According to the Business Tendency Survey, this difficulty is having a particular impact on activity in the manufacturing and construction industries in Israel."
sizes,1,8,8,There was stability among all company sizes in obtaining nonbank credit.
average employment,2,8,8,"The number of employed persons aged 15+ in July was about 185,000 lower than the number of employees required to attain the 2019 average employment rate."
average employment rate,3,8,8,"The number of employed persons aged 15+ in July was about 185,000 lower than the number of employees required to attain the 2019 average employment rate."
remains at high,3,8,8,"The volume of world trade moderated as well, but remains at high levels of activity."
tradable components declined,3,8,8,"The year over year rate of increases in the prices of nontradable components continues its upward trend, while the year over year rate of increase of prices of tradable components declined in October  ."
pace of economic,3,8,8,"The increase in morbidity may lead to a slowdown in the pace of economic activity in the short term, and may continue to cause difficulties in the production and supply chains."
services exports remain,3,8,8,"Goods exports (excluding ships, aircraft, and diamonds) remain higher than before the crisis, and services exports remain very high  ."
bank left,2,8,8,"The European Central Bank left its interest rate unchanged, but there are increasing assessments in the eurozone that the ECB will begin raising its interest rate later in the year."
central bank left,3,8,8,"The European Central Bank left its interest rate unchanged, but there are increasing assessments in the eurozone that the ECB will begin raising its interest rate later in the year."
recording,1,8,8,"The Israeli economy is recording strong growth, accompanied by a tight labor market and an increase in the inflation environment."
recording strong,2,8,8,"The Israeli economy is recording strong growth, accompanied by a tight labor market and an increase in the inflation environment."
economy is recording,3,8,8,"The Israeli economy is recording strong growth, accompanied by a tight labor market and an increase in the inflation environment."
therefore decided,2,8,8,The Committee has therefore decided that conditions allow for the start of a gradual process of increasing the interest rate.
committee has therefore,3,8,8,The Committee has therefore decided that conditions allow for the start of a gradual process of increasing the interest rate.
process of increasing,3,8,8,The Committee has therefore decided that conditions allow for the start of a gradual process of increasing the interest rate.
increasing the interest,3,8,8,The Committee has therefore decided that conditions allow for the start of a gradual process of increasing the interest rate.
pace of raising,3,8,8,"The pace of raising the interest rate will be determined in accordance with activity data and the development of inflation, in order to continue supporting the attainment of the policy goals."
continued moderate,2,8,8,"The number of job vacancies and the job vacancy rate are very high, despite the continued moderate decline in August."
priced,1,8,8,"In response, there was an increase in the interest rate expectation for Europe priced in by the market for 2023. [1] The full forecast is being published separately, and can be found at {link}."
real wage,2,8,8,The real wage per employee post declined slightly but remains near the trend line  .
pce index,2,8,8,"The CPI was 6.0 percent in February, similar to forecasters’ projections, and the PCE index was 5.0 percent in February, slightly below previous expectations."
cpi which mainly,3,8,8,"The pace of annual inflation of the nontradable components of the CPI, which mainly reflects the housing services component and services industries, is 5.5 percent."
activity segments,2,8,8,There was a slowing trend in bank and nonbank credit to all activity segments and all industries.
forecast is characterized,3,8,8,"In view of the war, the forecast is characterized by a high level of uncertainty."
treasuries,1,8,8,"The spread between dollar-denominated Israel government bonds and US Treasuries remained unchanged, at a high level."
led by credit,3,8,8,"Since the beginning of the year, outstanding business credit has expanded, led by credit to large businesses."
risks for possible,3,8,8,"The Committee assesses that there are several risks for a possible acceleration in inflation: geopolitical developments and their impact on economic activity, shekel depreciation, prolonged supply limitations on activity, and fiscal developments."
projections inflation,2,8,8,"According to forecasters’ projections, inflation will continue to increase at the beginning of 2025, partly in view of the expected increase in VAT, and will then moderate toward the upper bound of the target in the second half of the year  ."
forecasters projections inflation,3,8,8,"According to forecasters’ projections, inflation will continue to increase at the beginning of 2025, partly in view of the expected increase in VAT, and will then moderate toward the upper bound of the target in the second half of the year  ."
arrears,1,8,8,"Despite the increase in the rate of credit in arrears among small and medium firms in the most recent data, business credit risk remains moderate."
prices and net,3,8,8,Government receipts from direct taxation in October (in fixed prices and net of legislative changes and one-off revenues) are higher than the long-term trend  .
offset,1,8,7,"The steep decline in oil prices in recent weeks may offset the factors supporting inflation, but its impact on the “adjusted indices” will be limited."
business activity,2,8,7,It appears that the risks due to a worsening of the “trade war” are trickling down to the business activity of leading corporations as well.
vacancy rate declined,3,8,7,"In recent months, the unemployment rate increased slightly, and the job vacancy rate declined, but the labor market remains tight and supports the assessment that the economy is in a full employment environment."
except,1,8,7,"There was an increase in investment in most of the principal industries, except for investment in residential construction that continued to decline, and exports (excluding diamonds and startups) grew due to exports of services, while exports of goods remained sluggish  ."
early,1,8,7,"Although in recent months the unemployment rate increased slightly and the job vacancy rate declined somewhat, it is too early to determine whether these point to the beginning of a change in trend."
kept,1,8,7,"However, the IMF kept its 2019 world trade growth forecast unchanged and slightly reduced its 2020 forecast."
sentiment indices,2,8,7,"In Europe, economic activity continues to lose momentum and sentiment indices continue to weaken."
remains stable,2,8,7,The inflation environment remains stable above the lower bound of the target range.
longer terms,2,8,7,"One-year inflation expectations and forecasts are slightly above the lower bound of the target range, and forward expectations for medium and longer terms remained near the midpoint of the target."
increased moderately,2,8,7,"In recent months, home prices again increased moderately, so that overall they increased by approximately 1.0 percent in the past year, while rental prices remained stable in the past two months."
past three months,3,8,7,"After about a year in which it hovered in the lower portion of the target range, annual inflation has, for the past three months, been below the target."
declined in view,3,8,7,"In Japan, second quarter growth declined in view of the weakness of exports and investments."
taking,1,8,7,"Furthermore, the Committee is taking additional steps as necessary to make monetary policy more accommodative."
currencies,1,8,7,"Since the previous interest rate decision, the shekel has been relatively stable against the dollar, while most other currencies strengthened against the dollar."
economic activity show,3,8,7,"Most indicators of economic activity show that in the fourth quarter, the economy continued to grow solidly."
prices of oil,3,8,7,Prices of oil and commodities used in manufacturing declined in view of an expectation of a significant decline in demand from China  .
committee decided,2,8,7,"In addition, the Committee decided on 2 additional steps:"
reach,1,8,7,The debt to GDP ratio is expected to reach about 75 percent in 2020.
health,1,8,7,An analysis of the negative impact on private consumption—in accordance with the magnitude of the Ministry of Health’s limitations on the various consumption items and the weight of each item in the household consumption basket—indicates that private consumption is about 27 percent lower than its pre-crisis level.
bond markets,2,8,7,Yields in government and corporate bond markets were particularly volatile and there was a sharp rise in risk spreads.
lowest,1,8,7,"Real time indicators of economic activity point to a recovery in some industries, though the level of activity continues to be low and in the industries in which the main limitations have not yet been removed it remains around the lowest level, and the recovery is reflected only partly in the labor market."
restaurants,1,8,7,"In industries in which the main limitations have not yet been removed (such as tourism, restaurants, education and leisure), the level of purchases remains near the lowest point  ."
services industry,2,8,7,"Of particular note have been the increases in credit card expenditure in the restaurant industry and the education and leisure services industry, which until recent weeks had typically been stable at low activity levels, while tourism remains very low."
survey conducted,2,8,7,"The findings of the most recent real-time survey conducted by the Central Bureau of Statistics, at the beginning of July, show a worsening of the adverse impact to business revenue and the share of workers who are employed  ."
survey data,2,8,7,"Companies Survey data for the third quarter show that the net balance increased to a higher level than during the first quarter of 2020, but its level still reflects a strong contraction of activity."
barrel,1,8,7,"Oil prices declined to about $43 per barrel, while commodity prices continued to increase  . decision will be published on November 5, 2020."
continues to reflect,3,8,7,"According to the Central Bureau of Statistics Business Tendency Survey, the business sector’s total net balance declined more moderately than in the previous lockdown, but it continues to reflect strong contraction in activity  ."
strong economic,2,8,7,The vaccination campaign is progressing rapidly but the spread of more contagious variants and the still high morbidity level are weighing on a return to strong economic activity.
well with stable,3,8,7,"The credit market continues to function well, with stable and low interest rates, supported by a range of steps taken by the Bank of Israel and the Ministry of Finance."
conduct,1,8,7,The Committee will therefore continue to conduct an accommodative monetary policy for a prolonged time.
almost,1,8,7,"However, there remains concern over the development of mutations that are resistant to the vaccinations or that would lead to more serious morbidity among the unvaccinated population, which constitutes a risk to the economy and to maintaining the almost full routine that the economy enters at the beginning of June."
rate is percent,3,8,7,"National Accounts data from the Central Bureau of Statistics indicates that GDP expanded by 3.35 percent in the first quarter of 2024, relative to the fourth quarter of 2023, and in annual terms, the growth rate is 14.1 percent (Table 1)."
mixed trend,2,8,7,"According to the Business Tendency Survey, in March and April, there was a mixed trend in firms’ difficulty in obtaining credit."
remained higher,2,8,7,"Goods exports (excluding ships, aircraft, and diamonds, in dollars) declined slightly in August, but remained higher than they were prior to the crisis."
world therefore,2,8,7,"Monetary tightening around the world therefore continues. ​ The Israeli economy recorded high growth alongside the COVID-19 virus, and various indicators point to continued strong activity."
therefore continues,2,8,7,"Monetary tightening around the world therefore continues. ​ The Israeli economy recorded high growth alongside the COVID-19 virus, and various indicators point to continued strong activity."
world therefore continues,3,8,7,"Monetary tightening around the world therefore continues. ​ The Israeli economy recorded high growth alongside the COVID-19 virus, and various indicators point to continued strong activity."
components increased,2,8,7,The annual pace of inflation in both the nontradable and the tradable components increased in recent months  .
onward remain,2,8,7,"Expectations derived from the capital market for the second year onward remain within the target range, and long-term expectations are anchored at the midpoint of the range."
previous forecasts,2,8,7,"In the US, the annual increase in the CPI declined to 7.7 percent in October, lower than previous forecasts."
unsold,1,8,7,"The declines in the number of housing transactions and in new mortgage volume continue, while the stock of unsold homes held by developers increased markedly in the past year."
stock of unsold,3,8,7,"The declines in the number of housing transactions and in new mortgage volume continue, while the stock of unsold homes held by developers increased markedly in the past year."
home price,2,8,7,"Home price increases in the past 12 months moderated to 9.8 percent  , and the index of home prices declined by 0.2 percent in May."
economy risk,2,8,7,"While volatility in the markets has moderated and the financial markets are functioning properly, the economy’s risk premium remains high."
economy risk premium,3,8,7,"While volatility in the markets has moderated and the financial markets are functioning properly, the economy’s risk premium remains high."
local,1,8,7,"In the capital market, following sharp declines at the beginning of the war, the trend has changed in the past two weeks, with local equity indices rising sharply, similar to the global trend."
constraints on activity,3,8,7,"The Committee’s assessment is that there are still a number of risks of a potential acceleration in inflation: the effects of the war and its progress on economic activity, the constraints on activity in the construction industry, a depreciation of the shekel, and fiscal behavior."
left its rate,3,8,7,"Following three consecutive interest rate reductions, the Federal Reserve left its rate unchanged in January  ."
updated,1,8,6,An analysis of the data and of updated indicators of economic activity leads to the assessment that the economy is converging to its potential growth rate.
forecast downward,2,8,6,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
process of monetary,3,8,6,"The gradual normalization process of monetary policy worldwide continues, but policy remains accommodative in most economies."
prices moderated,2,8,6,"Inflation in tradable goods prices moderated, primarily as a result of a slowdown in the annual rate of increase in energy prices, despite the increase in oil prices until recently and the depreciation of the shekel."
limited,1,8,6,"The steep decline in oil prices in recent weeks may offset the factors supporting inflation, but its impact on the “adjusted indices” will be limited."
long-term growth,2,8,6,"Regarding economic activity, the first estimate by the Central Bureau of Statistics for full year growth in 2018 is 3.2 percent, similar to the long-term growth rate."
fourth quarter growth,3,8,6,"In the UK, fourth quarter 2018 growth declined because investments decreased sharply in view of Brexit."
second quarter growth,3,8,6,"Some indicators of second quarter growth point to moderation, but others show that growth is continuing at a solid pace."
highest level,2,8,6,"Inflation over the past 12 months was 1.5 percent  , its highest level since 2013, with the volatile fruit and vegetables component making a relatively significant contribution  ."
long-term expectations remained,3,8,6,"Short- and medium-term inflation expectations declined, with one-year expectations ranging around the lower bound of the target range, but long-term expectations remained anchored near the midpoint of the target range."
expectations remained anchored,3,8,6,"Short- and medium-term inflation expectations declined, with one-year expectations ranging around the lower bound of the target range, but long-term expectations remained anchored near the midpoint of the target range."
reductions,1,8,6,"Interest rates were lowered in the US and other economies, and further reductions are expected."
reporting serious,2,8,6,"Exports are increasing solidly, but the Business Tendency Survey indicates some increase in the rate of companies reporting serious constraints in export profitability, following a decline in this rate during 2018."
number of people,3,8,6,"A breakdown of the unemployed by how long they have been waiting to return to employment, and the decline in the number of people who are involuntarily employed part-time also indicate a tight labor market."
need,1,8,6,"Growth in 2020 is expected to be about 0.5 percentage points lower than in the previous forecast, as a result of the decline in export forecasts due to the expected slowdown in world trade, and due to the assumption that the government will need to take certain measures to lower the deficit."
ramifications,1,8,6,"Growth in China continued to moderate, and the ramifications of the trade war and the slowdown in the growth rate led the regime to continue its monetary accommodation measures."
interim,1,8,6,"However, the interim budget is expected to have a markedly contractionary effect in the first half of 2020, and there is continuing uncertainty regarding budgetary policy thereafter."
interim budget,2,8,6,"However, the interim budget is expected to have a markedly contractionary effect in the first half of 2020, and there is continuing uncertainty regarding budgetary policy thereafter."
department staff,2,8,6,"According to the Research Department’s staff forecast, growth is expected to slow somewhat in 2020."
research department staff,3,8,6,"According to the Research Department’s staff forecast, growth is expected to slow somewhat in 2020."
department staff forecast,3,8,6,"According to the Research Department’s staff forecast, growth is expected to slow somewhat in 2020."
through,1,8,6,"The expansion of the plan through which repo transactions are carried out vis-à-vis financial entities, so that the agreements can include corporate bonds (in addition to government bonds) as security."
recovery in economic,3,8,6,"In China, a recovery in economic activity is starting to be observed."
measures taken,2,8,6,"In Israel, the sharp increase in government bond yields and in corporate bond spreads was halted following measures taken by the Bank of Israel and the halt of mutual fund withdrawals."
provide,1,8,6,"With the removal of restrictions and the recovery of the economy, there is less need for the specific program to provide long-term loans to the banking system against loans to be issued to small and micro businesses, and the operation of this tool will be halted."
jumped,1,8,6,"However, it jumped to 19 percent in the second half of September following the imposition of the second lockdown."
card companies,2,8,6,"At the end of September, the outline for deferring payments on bank loans was further extended and expanded, and loans from credit card companies were also included in the deferrals."
credit card companies,3,8,6,"At the end of September, the outline for deferring payments on bank loans was further extended and expanded, and loans from credit card companies were also included in the deferrals."
diamonds in dollars,3,8,6,"Manufacturing exports (excluding ships, aircraft, and diamonds, in dollars) increased slightly in October, returning to the level from before the first lockdown, driven by high-technology exports  ."
adjusted in annual,3,8,6,"Despite the second lockdown in October and the start of the third lockdown at the end of December, GDP grew by 6.3 percent in the fourth quarter of 2020 (seasonally adjusted, in annual terms,  )."
brought forward,2,8,6,Fourth-quarter growth was markedly affected by vehicle imports being brought forward in view of expected changes in taxation.
first quarter data,3,8,6,"According to the first estimate of National Accounts data for the first quarter, GDP contracted by an annual rate of 6.5 percent, but first quarter data reflect a complex picture."
government expenditures,2,8,6,"First quarter GDP data were significantly impacted by vehicle imports that had been brought forward to the end of 2020 because of changes in tax rates, and by the shift of the timing of government expenditures on public consumption."
trend of recovery,3,8,6,The trend of recovery in consumption is reflected in the industries that were significantly hard-hit by the restrictions  .
processes,1,8,6,"In the Committee’s assessment, the monetary tightening processes in Israel and abroad, alongside the easing of the supply chain difficulties and declines in the prices of oil and other commodities will act to moderate inflation."
lowering,1,8,6,"The Federal Reserve has significantly revised its interest rate forecast for the coming years, while lowering its growth forecast."
moderation of activity,3,8,6,"However, monetary policy tightening and moderation of activity abroad are expected to lead to some slowdown in economic activity in Israel as well, and a number of indicators are showing signs of the beginning of such a process."
changed,1,8,6,"Since the previous policy decision, exchange rates have been characterized by considerable volatility—in the beginning of the intermeeting period the shekel strengthened, and later on the trend changed and the shekel depreciated by approximately 5 percent in the last month."
slowing trend,2,8,6,There was a slowing trend in bank and nonbank credit to all activity segments and all industries.
industry is recovering,3,8,6,"Alongside these figures, activity in the construction industry is recovering gradually, but the industry continues to function below its full potential."
tenant,1,8,6,"However, for rentals in which the tenant changed, there was an increase of 5.3 percent in rents."
stability support,2,8,6,"The Monetary Committee’s policy is focusing on price stability, support for economic activity, and stability of the markets."
focusing on price,3,8,6,"The Monetary Committee’s policy is focusing on price stability, support for economic activity, and stability of the markets."
price stability support,3,8,6,"The Monetary Committee’s policy is focusing on price stability, support for economic activity, and stability of the markets."
support for economic,3,8,6,"The Monetary Committee’s policy is focusing on price stability, support for economic activity, and stability of the markets."
activity and stability,3,8,6,"The Monetary Committee’s policy is focusing on price stability, support for economic activity, and stability of the markets."
inflation economic,2,8,6,"The interest rate path will be determined in accordance with the development of inflation, economic activity, geopolitical uncertainty, and fiscal developments."
activity geopolitical,2,8,6,"The interest rate path will be determined in accordance with the development of inflation, economic activity, geopolitical uncertainty, and fiscal developments."
inflation economic activity,3,8,6,"The interest rate path will be determined in accordance with the development of inflation, economic activity, geopolitical uncertainty, and fiscal developments."
economic activity geopolitical,3,8,6,"The interest rate path will be determined in accordance with the development of inflation, economic activity, geopolitical uncertainty, and fiscal developments."
activity geopolitical uncertainty,3,8,6,"The interest rate path will be determined in accordance with the development of inflation, economic activity, geopolitical uncertainty, and fiscal developments."
uncertainty and fiscal,3,8,6,"The interest rate path will be determined in accordance with the development of inflation, economic activity, geopolitical uncertainty, and fiscal developments."
steep,1,8,5,"The steep decline in oil prices in recent weeks may offset the factors supporting inflation, but its impact on the “adjusted indices” will be limited."
department's,1,8,5,"According to the Research Department's staff forecast, inflation in the next four quarters is expected to be 1.3 percent."
research department's,2,8,5,"According to the Research Department's staff forecast, inflation in the next four quarters is expected to be 1.3 percent."
expectation,1,8,5,"In the financial markets, there were increases in the equity indices  , and declines in government bond yields in view of the expectation that the process of global monetary contraction will be halted for now."
continued slowdown,2,8,5,Foreign trade data indicate a continued slowdown in goods exports in May  .
slowdown in china,3,8,5,"The risks to the global economy remain significant, mainly in view of the ""trade war"", political risk in Europe and in the Persian Gulf, and the concern of a slowdown in China."
extended,1,8,5,"If the appreciation persists, it will be harder for a more extended period to return inflation to the target range."
take,1,8,5,"Moreover, if necessary, the Committee will take additional steps toward making monetary policy even more accommodative in order to support a process at the end of which inflation will stabilize around the midpoint of the target range, and to support economic activity."
rate of companies,3,8,5,"Exports are increasing solidly, but the Business Tendency Survey indicates some increase in the rate of companies reporting serious constraints in export profitability, following a decline in this rate during 2018."
implications,1,8,5,"The interim budget is expected to have a markedly contractionary effect in the first half of 2020, even in view of the path of government debt repayment, and uncertainty remains regarding budgetary policy thereafter and its implications for economic activity and inflation."
return of inflation,3,8,5,"Since the previous interest rate decision, the shekel has strengthened by approximately 3 percent in terms of the nominal effective exchange rate, a development that continues to weigh on the return of inflation to the target range."
contraction of percent,3,8,5,"In comparison, in a more severe scenario where only partial control of the pandemic is achieved and there is a further worsening of the situation globally, the forecast expects a contraction of 7 percent and an unemployment rate of 13.6 percent."
percent in compared,3,8,5,"In the first scenario, GDP is expected to grow by 6 percent in 2021, compared with 3 percent in the more serious scenario."
definition,1,8,5,"The definition of broad unemployment does not include employees who were absent from their jobs for other reasons, such as reserve duty, caring for children in the absence of day care or educational frameworks, and others."
limitations on activity,3,8,5,"The effectiveness of the vaccination program has led to a sharp decline in morbidity rates, and has allowed a broad relaxation of the limitations on activity."
medium term,2,8,5,"However, there is still a great extent of uncertainty regarding economic activity in the medium term, mainly in view of the risk of cyclicality of additional morbidity waves."
trend in home,3,8,5,"The upward trend in home prices accelerated in recent months, with prices rising by 11.3 percent in the past 12 months, a significantly higher pace than in previous years."
credit rating,2,8,5,"During the reviewed period, the Moody’s credit rating agency lowered its ratings forecast for Israel from positive to stable, and left its rating unchanged."
contracts increased,2,8,5,"Monthly rents for tenants renewing their contracts increased by 3.6 percent in May, and monthly rents on new contracts increased by 8.6 percent."
civilian,1,8,5,"In view of the effects of the war, it is expected that the impact to economic activity will lead to a decline in tax revenue, with a parallel increase in defense expenditures, and that the government will operate a civilian assistance program."
current level,2,8,4,"The signals sent out by the Federal Reserve indicate that the interest rate will remain at its current level unless there is a significant change in the state of the economy, and market assessments are that the ECB is not expected to change its interest rate in the next two years."
environment remained low,3,8,4,"The exchange rate is weighing on the recovery of exports, particularly in view of the decline in global demand, and on the return of the inflation to the target. ​The inflation environment remained low."
security situation,2,8,4,The deterioration in the security situation that lasted approximately 10 days apparently had only a limited negative impact.
moderation in number,3,8,4,"Economic activity in Israel is at a high level, and is accompanied by a tight labor market, although there is some moderation in a number of indicators."
operation against iran,3,8,4,"Following Operation Rising Lion (the military operation against Iran), Israel’s risk premium declined significantly, but it remains higher than it was before the October 7, 2023 massacre."
ceasefire,1,8,4,"With regard to the fighting in Gaza, the forecast was formulated under the assumption that the ceasefire agreement currently being discussed will lead to a situation in which during the forecast horizon, beginning in July 2025, the fighting in Gaza will not be intense."
high risk,2,8,3,"Alongside this, the extent of geopolitical uncertainty has increased, reflecting a relatively high risk premium for the economy."
high risk premium,3,8,3,"Alongside this, the extent of geopolitical uncertainty has increased, reflecting a relatively high risk premium for the economy."
fighting in gaza,3,8,3,"The negative outlook, as explained by the agency, is mainly due to uncertainty regarding the expansion of the war to the northern front, the duration of the fighting in Gaza, and the change in fiscal policy."
expectations for medium,3,7,7,"Expectations for medium terms remained entrenched within the target range, though there has been a slight decline recently in longer-term expectations."
private consumption grew,3,7,7,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
expects,1,7,7,The Research Department expects inflation of 1.3 percent over the coming four quarters.
increase in wages,3,7,7,"The continued increase in wages and the economy being around full employment will support a continued rise in inflation toward the midpoint of the target, as will the depreciation, to the extent it persists."
indices declined,2,7,7,"In the past two months, Tel Aviv Stock Exchange equity indices declined by approximately 10 percent  , which is in line with the marked declines on major global equity indices  ."
percent similar,2,7,7,"Regarding economic activity, the first estimate by the Central Bureau of Statistics for full year growth in 2018 is 3.2 percent, similar to the long-term growth rate."
retail,1,7,7,"Retail sales declined sharply, stemming in part from the deferral of US federal government workers’ salaries."
left the federal,3,7,7,"In the US, the pace of inflation moderated, and the Fed left the federal funds rate unchanged  , and interest rate forecasts were revised downward."
order to support,3,7,7,"In addition, the ECB renewed its program of providing credit to the commercial banks in order to support economic activity in the eurozone."
meeting,1,7,7,"For the year to date, the shekel has strengthened by 6 percent in terms of the nominal effective exchange rate, and since the last meeting it has appreciated by 1.2 percent."
trade data indicate,3,7,7,"There is an apparent decline in the share of companies in the Business Tendency Survey reporting a severe constraint in export orders, but foreign trade data indicate a slowdown in goods exports in April."
several months,2,7,7,"However, while the job vacancy rate remains high, it has been declining moderately for several months."
surrounding,1,7,7,"The slowdown in world trade continues  , but the political risks have moderated in view of the signing of the first stage of the trade agreement between the US and China, and the decline in uncertainty surrounding the progress of the Brexit process."
nontradable goods,2,7,7,"Inflation in the prices of nontradable goods, an approximation of the domestic component of inflation, moderated in recent months, but remains above the 2 percent level, and inflation in tradable goods prices continues to increase."
types,1,7,7,The number of transactions increased markedly among all types of homebuyers.
industrial production,2,7,7,"In Europe, the economic picture continues to indicate weakness, and industrial production continues to contract."
bonds increased slightly,3,7,7,"Yield spreads between corporate bonds in Israel and comparable government bonds increased slightly, after having declined since the beginning of the year."
